animal_id,name,datetime,monthyear,date_of_birth,outcome_type,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,outcome_subtype
A845425,,2021-10-30T08:55:00.000,2021-10-30T08:55:00.000,2021-04-29T00:00:00.000,Euthanasia,Other,Unknown,6 months,Raccoon,Brown/Black,Suffering
A845300,,2021-10-30T00:00:00.000,2021-10-30T00:00:00.000,2019-10-27T00:00:00.000,Transfer,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby,Snr
A845301,,2021-10-30T00:00:00.000,2021-10-30T00:00:00.000,2019-10-27T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair,Tortie,Snr
A844958,*Bandita,2021-10-29T18:31:00.000,2021-10-29T18:31:00.000,2020-10-23T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Alaskan Husky,Gray/White,
A843389,Sushi,2021-10-29T18:21:00.000,2021-10-29T18:21:00.000,2021-04-30T00:00:00.000,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby/White,
A845155,Smokey,2021-10-29T18:07:00.000,2021-10-29T18:07:00.000,2021-06-26T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair,Black,
A491338,Honey,2021-10-29T17:27:00.000,2021-10-29T17:27:00.000,2006-10-29T00:00:00.000,Return to Owner,Dog,Spayed Female,15 years,Labrador Retriever Mix,Yellow,
A844748,Scooter,2021-10-29T17:16:00.000,2021-10-29T17:16:00.000,2021-06-19T00:00:00.000,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair,Blue Tabby,
A844924,*Penelope,2021-10-29T16:46:00.000,2021-10-29T16:46:00.000,2021-06-07T00:00:00.000,Adoption,Dog,Spayed Female,4 months,German Shepherd Mix,Black/Brown,
A841511,A841511,2021-10-29T16:37:00.000,2021-10-29T16:37:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,
A844375,*Simon,2021-10-29T16:31:00.000,2021-10-29T16:31:00.000,2019-10-15T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Pit Bull,Blue/White,
A841513,*Muddy Waters,2021-10-29T16:14:00.000,2021-10-29T16:14:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby/White,
A842288,*Brie,2021-10-29T15:51:00.000,2021-10-29T15:51:00.000,2021-08-07T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Black,
A844463,A844463,2021-10-29T15:45:00.000,2021-10-29T15:45:00.000,2021-07-16T00:00:00.000,Adoption,Dog,Neutered Male,3 months,Labrador Retriever,Black,
A845148,*Carrie,2021-10-29T15:22:00.000,2021-10-29T15:22:00.000,2021-08-20T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Pit Bull,Brown Brindle/White,
A845362,A845362,2021-10-29T14:35:00.000,2021-10-29T14:35:00.000,2021-10-07T00:00:00.000,Transfer,Cat,Intact Female,3 weeks,Domestic Longhair,Black,Partner
A842353,*Jazz,2021-10-29T14:20:00.000,2021-10-29T14:20:00.000,2021-08-11T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby,Foster
A843977,*Persy,2021-10-29T14:19:00.000,2021-10-29T14:19:00.000,2019-10-09T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Pit Bull,Tan,
A832574,*Kimchi,2021-10-29T14:15:00.000,2021-10-29T14:15:00.000,2019-04-15T00:00:00.000,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair,Brown Tabby,Foster
A620616,Midnight,2021-10-29T14:01:00.000,2021-10-29T14:01:00.000,2008-02-22T00:00:00.000,Return to Owner,Cat,Intact Female,13 years,Domestic Shorthair,Tortie,
A843891,*Duncan,2021-10-29T13:37:00.000,2021-10-29T13:37:00.000,2021-08-25T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,
A845150,*Janet,2021-10-29T13:16:00.000,2021-10-29T13:16:00.000,2021-08-26T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Pit Bull,White/Brown Brindle,
A845388,,2021-10-29T13:00:00.000,2021-10-29T13:00:00.000,2019-10-29T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat,Brown,Rabies Risk
A842883,*Dax,2021-10-29T12:48:00.000,2021-10-29T12:48:00.000,2020-12-22T00:00:00.000,Adoption,Dog,Spayed Female,10 months,Pit Bull Mix,Brown/White,
A844655,*Kumandra,2021-10-29T12:47:00.000,2021-10-29T12:47:00.000,2018-10-18T00:00:00.000,Adoption,Dog,Neutered Male,3 years,Siberian Husky,Black/White,
A845114,Andy,2021-10-29T11:41:00.000,2021-10-29T11:41:00.000,2016-10-25T00:00:00.000,Return to Owner,Dog,Neutered Male,5 years,Miniature Poodle Mix,White,
A845052,A845052,2021-10-29T10:41:00.000,2021-10-29T10:41:00.000,2020-12-25T00:00:00.000,Transfer,Cat,Intact Male,10 months,Domestic Shorthair,Fawn/White,Partner
A845086,A845086,2021-10-29T10:39:00.000,2021-10-29T10:39:00.000,2021-05-10T00:00:00.000,Transfer,Dog,Intact Male,5 months,Chihuahua Shorthair,White/Brown,Partner
A471683,Smudge,2021-10-29T06:58:00.000,2021-10-29T06:58:00.000,2007-03-15T00:00:00.000,Adoption,Cat,Spayed Female,14 years,Domestic Shorthair Mix,Black Smoke/Black Tabby,Foster
A791257,Scooby,2021-10-28T18:30:00.000,2021-10-28T18:30:00.000,2018-03-25T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,Bullmastiff Mix,Brown/Black,
A845149,*Corin,2021-10-28T18:13:00.000,2021-10-28T18:13:00.000,2021-08-20T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Pit Bull,Brown Brindle/White,
A845340,Koda,2021-10-28T18:07:00.000,2021-10-28T18:07:00.000,2020-10-28T00:00:00.000,Return to Owner,Dog,Intact Male,1 year,Siberian Husky,Gray/White,
A845147,Vanilla,2021-10-28T17:37:00.000,2021-10-28T17:37:00.000,2021-06-26T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Siamese Mix,Lynx Point,
A845145,Oreo,2021-10-28T17:09:00.000,2021-10-28T17:09:00.000,2021-06-26T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair,Black/White,
A844873,*Sport,2021-10-28T17:04:00.000,2021-10-28T17:04:00.000,2020-12-21T00:00:00.000,Adoption,Dog,Neutered Male,10 months,Labrador Retriever Mix,Black/White,
A845201,Safarii,2021-10-28T17:02:00.000,2021-10-28T17:02:00.000,2021-02-27T00:00:00.000,Return to Owner,Dog,Intact Female,7 months,French Bulldog,Brown Brindle,
A842290,*Ricotta,2021-10-28T16:44:00.000,2021-10-28T16:44:00.000,2021-08-07T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Calico,
A845085,Tom,2021-10-28T16:23:00.000,2021-10-28T16:23:00.000,2019-10-25T00:00:00.000,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby/White,
A845146,Caramelo,2021-10-28T16:18:00.000,2021-10-28T16:18:00.000,2021-06-26T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Siamese Mix,Seal Point,
A845332,Baby,2021-10-28T16:16:00.000,2021-10-28T16:16:00.000,2020-05-28T00:00:00.000,Return to Owner,Dog,Spayed Female,1 year,Pit Bull,Fawn/White,
A820722,Sky,2021-10-28T16:16:00.000,2021-10-28T16:16:00.000,2019-12-27T00:00:00.000,Return to Owner,Dog,Intact Female,1 year,Pit Bull Mix,Fawn/White,
A845074,A845074,2021-10-28T15:46:00.000,2021-10-28T15:46:00.000,2021-08-12T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby/White,
A845073,A845073,2021-10-28T15:46:00.000,2021-10-28T15:46:00.000,2021-08-12T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,White/Brown Tabby,
A845339,221 Grams,2021-10-28T15:45:00.000,2021-10-28T15:45:00.000,2021-09-28T00:00:00.000,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue Tabby/White,Partner
A845337,436 Grams,2021-10-28T15:44:00.000,2021-10-28T15:44:00.000,2021-09-28T00:00:00.000,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue Tabby/White,Partner
A806688,Caramela,2021-10-28T15:11:00.000,2021-10-28T15:11:00.000,2019-02-14T00:00:00.000,Transfer,Dog,Intact Female,2 years,Chihuahua Shorthair,Brown,Partner
A844975,Chiquita,2021-10-28T15:11:00.000,2021-10-28T15:11:00.000,2020-10-23T00:00:00.000,Transfer,Dog,Intact Female,1 year,Dachshund Wirehair Mix,Gray,Partner
A844976,Blanca,2021-10-28T15:11:00.000,2021-10-28T15:11:00.000,2019-10-23T00:00:00.000,Transfer,Dog,Intact Female,2 years,Cairn Terrier,White/Brown,Partner
A843098,*Tornado,2021-10-28T14:58:00.000,2021-10-28T14:58:00.000,2019-09-27T00:00:00.000,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White,
A844164,Marley,2021-10-28T14:50:00.000,2021-10-28T14:50:00.000,2016-10-27T00:00:00.000,Return to Owner,Dog,Intact Male,5 years,Dachshund/Chihuahua Shorthair,Brown/White,
A842711,*Javier,2021-10-28T14:36:00.000,2021-10-28T14:36:00.000,2021-08-13T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Foster
A842746,*Cobweb,2021-10-28T14:34:00.000,2021-10-28T14:34:00.000,2021-08-30T00:00:00.000,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair,Black,Foster
A844847,*Bitsy,2021-10-28T13:48:00.000,2021-10-28T13:48:00.000,2020-12-21T00:00:00.000,Adoption,Dog,Spayed Female,10 months,Australian Cattle Dog,Black/White,
A841516,,2021-10-28T13:37:00.000,2021-10-28T13:37:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Blue Tabby,
A845013,,2021-10-28T12:26:00.000,2021-10-28T12:26:00.000,2021-05-24T00:00:00.000,Transfer,Dog,Intact Female,5 months,Great Pyrenees,Cream,Partner
A845311,,2021-10-28T09:54:00.000,2021-10-28T09:54:00.000,2019-10-27T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat,Brown/Brown,Rabies Risk
A845219,,2021-10-28T08:43:00.000,2021-10-28T08:43:00.000,2020-10-27T00:00:00.000,Euthanasia,Other,Unknown,1 year,Bat,Brown,Rabies Risk
A743439,*Jezzy,2021-10-28T08:33:00.000,2021-10-28T08:33:00.000,2013-02-10T00:00:00.000,Transfer,Dog,Intact Female,8 years,Pit Bull Mix,Brown Brindle/White,Partner
A844875,,2021-10-27T18:56:00.000,2021-10-27T18:56:00.000,2020-10-21T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Cairn Terrier Mix,Tan/White,
A843938,*Fiona,2021-10-27T18:48:00.000,2021-10-27T18:48:00.000,2019-10-08T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Great Pyrenees Mix,White/Tan,
A844821,Dallas,2021-10-27T18:37:00.000,2021-10-27T18:37:00.000,2020-05-20T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Golden Retriever Mix,Gold/White,
A845151,Coco,2021-10-27T18:25:00.000,2021-10-27T18:25:00.000,2021-07-26T00:00:00.000,Adoption,Dog,Spayed Female,3 months,Chihuahua Shorthair Mix,Brown Merle,
A842503,*Margeaux,2021-10-27T18:20:00.000,2021-10-27T18:20:00.000,2021-08-07T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Brown,
A841512,,2021-10-27T18:06:00.000,2021-10-27T18:06:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby,
A843773,A843773,2021-10-27T18:06:00.000,2021-10-27T18:06:00.000,2021-06-29T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,
A841517,,2021-10-27T18:03:00.000,2021-10-27T18:03:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby,
A844359,Mr. Mans,2021-10-27T17:47:00.000,2021-10-27T17:47:00.000,2018-10-15T00:00:00.000,Rto-Adopt,Cat,Neutered Male,3 years,Domestic Shorthair,Black/White,
A845299,,2021-10-27T17:42:00.000,2021-10-27T17:42:00.000,2019-10-27T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair,Torbie,Partner
A845297,,2021-10-27T17:41:00.000,2021-10-27T17:41:00.000,2021-10-25T00:00:00.000,Transfer,Cat,Unknown,2 days,Domestic Shorthair,Torbie,Partner
A845296,,2021-10-27T17:41:00.000,2021-10-27T17:41:00.000,2021-10-25T00:00:00.000,Transfer,Cat,Unknown,2 days,Domestic Shorthair,Torbie,Partner
A845298,,2021-10-27T17:41:00.000,2021-10-27T17:41:00.000,2019-10-27T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair,Torbie,Partner
A845295,,2021-10-27T17:40:00.000,2021-10-27T17:40:00.000,2021-10-25T00:00:00.000,Transfer,Cat,Unknown,2 days,Domestic Shorthair,Torbie,Partner
A841515,,2021-10-27T17:36:00.000,2021-10-27T17:36:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby,
A844946,A844946,2021-10-27T17:34:00.000,2021-10-27T17:34:00.000,2021-01-22T00:00:00.000,Adoption,Dog,Spayed Female,9 months,German Shepherd Mix,White,
A844842,A844842,2021-10-27T16:58:00.000,2021-10-27T16:58:00.000,2020-10-21T00:00:00.000,Adoption,Dog,Neutered Male,1 year,German Shepherd,Brown/Black,
A844807,Walnut,2021-10-27T16:47:00.000,2021-10-27T16:47:00.000,2019-10-20T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair,Tan,
A814670,Falco,2021-10-27T16:39:00.000,2021-10-27T16:39:00.000,2020-01-03T00:00:00.000,Rto-Adopt,Dog,Neutered Male,1 year,American Staffordshire Terrier,Fawn/White,
A841665,Lucky,2021-10-27T16:36:00.000,2021-10-27T16:36:00.000,2020-08-31T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown,
A844272,Vamp,2021-10-27T16:32:00.000,2021-10-27T16:32:00.000,2021-08-18T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Black,
A844914,,2021-10-27T16:31:00.000,2021-10-27T16:31:00.000,2021-08-07T00:00:00.000,Died,Dog,Intact Female,2 months,Labrador Retriever Mix,Black/White,In Surgery
A844800,Salem,2021-10-27T16:24:00.000,2021-10-27T16:24:00.000,2021-08-05T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,
A844665,*Clarice,2021-10-27T16:12:00.000,2021-10-27T16:12:00.000,2019-10-19T00:00:00.000,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie,
A845265,393G,2021-10-27T16:00:00.000,2021-10-27T16:00:00.000,2021-10-05T00:00:00.000,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair,Black Smoke,Partner
A842349,*Cashew,2021-10-27T15:11:00.000,2021-10-27T15:11:00.000,2021-08-11T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby,Foster
A842747,*Pumpkin,2021-10-27T15:09:00.000,2021-10-27T15:09:00.000,2021-08-30T00:00:00.000,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair,Orange Tabby,Foster
A845253,,2021-10-27T15:04:00.000,2021-10-27T15:04:00.000,2019-10-27T00:00:00.000,Euthanasia,Other,Unknown,NULL,Bat,Black/Gray,Rabies Risk
A845041,,2021-10-27T13:17:00.000,2021-10-27T13:17:00.000,2019-10-25T00:00:00.000,Return to Owner,Cat,Unknown,2 years,Domestic Shorthair,Orange Tabby,
A845043,,2021-10-27T13:16:00.000,2021-10-27T13:16:00.000,2019-10-25T00:00:00.000,Return to Owner,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby/White,
A845179,Bailey,2021-10-27T12:45:00.000,2021-10-27T12:45:00.000,2019-10-26T00:00:00.000,Return to Owner,Dog,Intact Male,2 years,Maltese/Miniature Poodle,White/Black,
A842461,*Ruby,2021-10-27T09:50:00.000,2021-10-27T09:50:00.000,2021-08-05T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Foster
A845199,,2021-10-27T09:39:00.000,2021-10-27T09:39:00.000,2019-10-27T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat,Brown,Rabies Risk
A845187,,2021-10-27T08:28:00.000,2021-10-27T08:28:00.000,2019-10-26T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat,Red/Red,Rabies Risk
A845181,,2021-10-27T08:27:00.000,2021-10-27T08:27:00.000,2019-10-26T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat,Brown/Brown,Rabies Risk
A843134,*Brianna,2021-10-26T19:12:00.000,2021-10-26T19:12:00.000,2019-09-27T00:00:00.000,Adoption,Dog,Spayed Female,2 years,American Pit Bull Terrier/Black Mouth Cur,Brown/Black,
A844777,,2021-10-26T18:29:00.000,2021-10-26T18:29:00.000,2021-08-05T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,White/Blue,
A845021,Peluchin,2021-10-26T18:27:00.000,2021-10-26T18:27:00.000,2006-09-24T00:00:00.000,Return to Owner,Dog,Neutered Male,15 years,Miniature Poodle,White,
A844644,A844644,2021-10-26T18:26:00.000,2021-10-26T18:26:00.000,2021-06-03T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,
A841902,*Ellie,2021-10-26T18:18:00.000,2021-10-26T18:18:00.000,2013-10-06T00:00:00.000,Adoption,Dog,Spayed Female,8 years,Pit Bull,Black/White,
A844816,,2021-10-26T18:12:00.000,2021-10-26T18:12:00.000,2021-08-20T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Pit Bull Mix,Blue/White,
A844813,Pooter,2021-10-26T18:01:00.000,2021-10-26T18:01:00.000,2021-06-20T00:00:00.000,Adoption,Dog,Neutered Male,4 months,Beagle,Brown,
A844189,*Nala,2021-10-26T17:50:00.000,2021-10-26T17:50:00.000,2018-10-13T00:00:00.000,Adoption,Dog,Spayed Female,3 years,Beagle Mix,Black/White,
A844776,Frankenstein,2021-10-26T17:47:00.000,2021-10-26T17:47:00.000,2021-06-24T00:00:00.000,Adoption,Dog,Spayed Female,4 months,Black Mouth Cur Mix,Tan/White,
